 temperature	i	 j	spin A(i,j)
   2.82000017              21           3           1
   2.82000017              21           4           1
   2.82000017              21           5          -1
   2.82000017              21           6          -1
   2.82000017              21           7          -1
   2.82000017              21           8          -1
   2.82000017              21           9          -1
   2.82000017              21          10          -1
   2.82000017              21          11          -1
   2.82000017              21          12           1
   2.82000017              21          13           1
   2.82000017              21          14           1
   2.82000017              21          15           1
   2.82000017              21          16           1
   2.82000017              21          17           1
   2.82000017              21          18          -1
   2.82000017              21          19          -1
   2.82000017              21          20          -1
   2.82000017              21          21           1
   2.72000003               2           2           1
   2.72000003               2           3           1
   2.72000003               2           4           1
   2.72000003               2           5           1
   2.72000003               2           6          -1
   2.72000003               2           7          -1
   2.72000003               2           8          -1
   2.72000003               2           9          -1
   2.72000003               2          10           1
   2.72000003               2          11           1
   2.72000003               2          12           1
   2.72000003               2          13           1
   2.72000003               2          14           1
   2.72000003               2          15           1
   2.72000003               2          16           1
   2.72000003               2          17           1
   2.72000003               2          18          -1
   2.72000003               2          19          -1
   2.72000003               2          20          -1
   2.72000003               2          21          -1
   2.72000003               3           2           1
   2.72000003               3           3           1
   2.72000003               3           4           1
   2.72000003               3           5           1
   2.72000003               3           6          -1
   2.72000003               3           7          -1
   2.72000003               3           8          -1
   2.72000003               3           9          -1
   2.72000003               3          10          -1
   2.72000003               3          11          -1
   2.72000003               3          12           1
   2.72000003               3          13           1
   2.72000003               3          14           1
